,OfferDetails,FaceValue,Product
118,"SAVE 55¢ on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"['Excludes Club Packs', 'Twin Packs', 'Product']"
119,SAVE $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"['Venus', 'Daisy Disposable', 'Daisy']"
120,SAVE $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,['Olay Facial Cleanser']
121,SAVE $1.00 ONE Prilosec OTC Product.,$1.00,['Prilosec OTC Product']
122,SAVE $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,['Gillette Blade Refill']
123,"SAVE $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"['Gain', 'Gain Fabric Enhancers', 'Gain Fireworks', 'Gain', 'Gain Flings', 'Gain Ultra Flings', 'Liquid/Powder Laundry Detergent', 'Flings']"
124,GET $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"['Box', 'PULL-UPS® Training Pants']"
125,"SAVE $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"['Gum', 'Enamel Repair', 'Gum', 'Crest Gum Detoxify', 'Sensitivity']"
126,"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"['Venus Products', 'Gillette Razor', 'Disposables']"
127,"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"['Chocolate Candy', 'Chocolate Bar', 'Baking Chips']"
128,"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"['ZYRTEC®', 'Excludes']"
129,"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"['Children', 'Allegra® Allergy', 'Allegra-D®', 'Allegra®']"
130,SAVE $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,"['Dreft Newborn Laundry Detergent', 'Dreft Active Baby Laundry Detergent', 'Dreft Pure Gentleness Laundry Detergent']"
131,"BUY ONE GET ONE FREE on any ONE (1) bag of Flavors of America by Eight O'Clock®, Any variety 11oz.",,"['America', ""O'Clock®""]"
132,$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,['SHEBA® PERFECT PORTIONS™ Premium Cat Food']
133,"SAVE $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"['Serums', 'Complete', 'Active Hydrating', 'Olay Facial Moisturizer']"
134,SAVE $2.00 ONE Venus Razor (excludes disposables).,$2.00,['Venus Razor']
135,"SAVE $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,['Claritin®']
136,SAVE $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,['HUGGIES® LITTLE SWIMMERS® Disposable Swimpants']
137,$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,['Osteo Bi-Flex®']
138,SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,['Nexium®']
139,SAVE $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,['Venus Blade Refill']
140,SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,['Colgate® Optic White® Renewal Toothpaste']
141,SAVE $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"['Children', 'Claritin® Syrup']"
142,"SAVE $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,['NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food']
143,SAVE $3.00 on any ONE (1) Florastor product,$3.00,['Florastor']
144,SAVE $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"['Oral-B Vitality', 'Pro', 'Rechargeable Electric Toothbrush']"
145,Any Open Nature Product of $1 or more.Limit 1 item.,$1,['Nature Product']
146,Any Bakery Department Purchase of $1 or more.Limit 1 item.,$1,['Bakery Department Purchase']
147,Any Frozen Aisle Purchase of $1 or more.Limit 1 item.,$1,['Frozen Aisle Purchase']
148,Any Produce Department Purchase of $1 or more.Limit 1 item.,$1,['Produce Department Purchase']
149,Golden Ripe Bananas PLU 4011 Per lb. Excludes Organic.,,"['Golden Ripe Bananas', 'PLU', 'Per', 'Excludes Organic']"
150,"Signature SELECT refreshe Water 24-pack, 16.9-oz. +CRV.",,"['Signature', 'Water']"
151,Calidad Tortilla Chips 12 to 14-oz.,,"['Calidad Tortilla', 'Chips']"
152,Chobani Greek Yogurt 5.3-oz.,,['Chobani Greek Yogurt']
153,Lucerne Shredded Cheese 6 to 8-oz.,,"['Lucerne Shredded', 'Cheese']"
154,Lucerne Butter 16-oz.,,"['Lucerne', 'Butter']"
155,Mission Super Size Yellow Corn Tortillas 24-ct.,,"['Mission Super Yellow Corn', 'Tortillas']"
156,Barilla Pasta 12 to 16-oz. Excludes Plus Pasta and Gluten Free.,,"['Barilla', 'Pasta', 'Gluten Free', 'Pasta']"
157,$1 Off Your Purchase of $1 or More *Standard exclusions apply.,$1,['Off']
158,Visa® Gift Cards When you buy $100 or more in Visa® gift cards. Limit 1 per...,$100,"['Visa® Gift Cards', 'Visa®']"
159,Signature Farms Romaine Hearts 3-ct. Limit 1.,,"['Signature Farms Romaine', 'Hearts']"
160,Fresh Cravings Dip 8-10-oz. Limit 1.,,['Fresh Cravings Dip']
161,"Litehouse® Buy ONE (1) Litehouse® Organic Dressing(11.25 oz), get ONE...",,"['Litehouse®', 'Litehouse® Organic Dressing']"
162,Caspers Franks 16-oz. Limit 4.,,['Franks']
163,Aidells Gourmet Chicken Sausage or Aidells meatballs. 12-oz. Limit 2 items.,,"['Aidells Gourmet Chicken Sausage', 'Aidells']"
164,Signature Farms 80% Lean Ground Beef Mega-pack. Limit 1.,,"['Signature', 'Lean Ground Beef', 'Mega-pack']"
165,Plated Meal Kits 22.2-32.5-oz.,,['Meal Kits']
166,Lipton or Tazo Tea 75-100-ct. Lipton or 20-ct. Tazo.,,"['Lipton', 'Tazo Tea', 'Lipton', 'Tazo']"
167,Glacéau smartwater Sport 700-ml. or 20-oz. vitaminwater. +CRV(CA only). Limit 12.,,"['Glacéau', 'Sport', 'CA']"
168,Simply Orange Juice 52-oz. +CRV(CA only). Limit 4.,,"['Simply Orange', 'Juice', 'CA']"
169,7-UP 2-ltr. +CRV(CA only). Limit 4.,,['CA']
170,"Gatorade 8-pk., 20-oz. +CRV(CA only). Limit 4.",,"['Gatorade', 'CA']"
171,When you Buy 12-Pk. Dr Pepper & Cream... Buy Regular or Diet Dr. Pepper & Cream Soda & get FREE...,,"['Cream', 'Diet', 'Cream Soda', 'Dr Pepper', 'Regular', 'Dr. Pepper']"
172,"San Pellegrino Soda 6-pk., 11.15-oz. +CRV(CA only). Limit 4.",,"['San Pellegrino Soda', 'CA']"
173,Signature SELECT Apple Juice or Lemonade 64-oz. +CRV(CA only). Limit 4.,,"['Signature', 'Apple Juice', 'Lemonade', 'CA']"
174,Green Mountain Coffee Roasters or The Original Donut Shop. 12-32-ct. k-cup pods.,,"['Green Mountain Coffee Roasters', 'Original Donut Shop']"
175,KeVita® on any TWO (2) 15.2oz. KeVita® bottles.,,"['KeVita®', 'KeVita®']"
176,Naked® Juice on any TWO (2) 15.2oz Naked® Juice bottles.,,"['Naked® Juice', 'Naked® Juice']"
177,Hint® Water When you buy any FIVE (5) bottles of Still Hint® Water.,,"['Hint® Water', 'FIVE', 'Hint® Water']"
178,Arrowhead® Brand Water on any THREE (3) Arrowhead® Spring Water Case Packs...,,"['Arrowhead® Brand Water', 'Arrowhead® Spring Water Case Packs']"
179,Starbucks® ONE (1) Starbucks® Ground Coffee with Essential Vitamins or...,,"['Essential Vitamins', 'Starbucks®', 'Starbucks® Ground Coffee']"
180,"Starbucks® ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins,...",,"['Essential Vitamins', 'Starbucks®', 'Starbucks® K-Cup® Coffee']"
181,"Glaceau smartwater 12-pk., 1-ltr. bottles. Limit 1.",,['Glaceau']
182,"Glaceau smartwater 6-pk., 1-liter. Limit 1 per transaction.",,['Glaceau']
183,Silk Almondmilk Half-gallon. Gluten free.,,"['Silk Almondmilk', 'Gluten', 'Half-gallon']"
184,Lucerne Cheese 6-8-oz. Limit 4.,,['Lucerne']
185,Lucerne Flavored Creamer 32-oz. Limit 4.,,"['Lucerne Flavored Creamer', '32-oz']"
186,Galbani String or Stick Cheese 10-12-oz.,,"['Galbani String', 'Stick Cheese']"
187,"Dannon Greek Yogurt 4-pack, 5.3-oz.",,['Dannon Greek Yogurt']
188,Chobani Greek Yogurt 32-oz.,,"['Chobani Greek', 'Yogurt']"
189,Challenge or Danish Creamery Butter 16-oz. quarters. Or 15-oz. Challenge spreadable butter....,,"['Challenge', 'Danish Creamery', 'Butter', 'Challenge']"
190,Sargento Snack Bites on ONE (1) Sargento Snack Bites.,,"['Sargento Snack Bites', 'Sargento Snack Bites']"
191,Sargento Balanced Breaks on ONE (1) Sargento Balanced Breaks.,,"['Sargento Balanced Breaks', 'Sargento Balanced Breaks']"
192,Sargento® on any TWO (2) Sargento® Natural Cheese Slices.,,"['Sargento®', 'Sargento® Natural Cheese Slices']"
193,Oikos Blue Yogurt On Any ONE (1) Oikos Blue Yogurt Cup (excluding Triple Zero).,,"['Oikos Blue Yogurt', 'Triple Zero', 'Oikos Blue Yogurt Cup']"
194,Frigo® Cheese Heads® Cheese on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese...,,"['Frigo® Cheese Heads® Cheese', 'Frigo® Cheese Heads®', 'Snack Cheese']"
195,noosa® Yoghurt on any THREE (3) noosa® yoghurts.,,['Yoghurt']
196,Hennessy VS 750-ml. Or 1.75-ltr.Ketel One. Limit 2 items.,,"['Hennessy VS', '750-ml']"
197,"- on TWO (2) 12-packs or larger of Elysian Family, Golden...",,"['Elysian Family', 'Golden']"
198,Crook & Marker® on any combination of TWO (2) 8-can variety packs of Crook...,,"['Crook', 'Crook', 'Marker®']"
199,A to Z Wineworks on any TWO (2) 750ml bottles of A to Z Wineworks wine.,,"['Z Wineworks', 'A', 'Z Wineworks']"
200,Truly Hard Seltzer on any FOUR (4) 6-packs or TWO (2) 12-packs or ONE (1)...,,['Hard Seltzer']
201,Anheuser-Busch Multi Brand On 18PK or larger of Bud Light® or 12PK or larger of...,,"['Bud', 'Anheuser-Busch Multi Brand', 'Light®']"
202,Erath Oregon on the purchase of TWO (2) 750ml bottles of Erath Oregon...,,"['Erath Oregon', 'Erath Oregon']"
203,Anchor Brewing Co the purchase of Anchor Steam or Anchor California Lager 6...,,"['Anchor Brewing Co', 'Anchor Steam', 'Anchor California', 'Lager']"
204,MALIBU® and Dole® Canned Pineapple Juice on any Dole® Canned Pineapple Juice with the purchase of...,,"['MALIBU®', 'Dole® Canned Pineapple Juice', 'Dole® Canned Pineapple Juice']"
205,ALTOS™ Tequila on taco essentials when you purchase ONE (1) 750ml bottle...,,['ALTOS™ Tequila']
206,KETEL ONE® BOTANICALS on ONE (1) bottle (750ml only) of KETEL ONE® BOTANICALS and...,,"['KETEL', 'KETEL', 'ONE® BOTANICALS', 'ONE® BOTANICALS']"
207,ABSOLUT® VODKA on any mixer when you purchase of any ONE (1) 750ml bottle...,,['ABSOLUT® VODKA']
208,JAMESON® Irish Whiskey on ONE (1) 750ml bottle of JAMESON® IRISH WHISKEY.,,"['IRISH WHISKEY', 'JAMESON® Irish Whiskey', 'JAMESON®']"
209,BEEFEATER® London Dry Gin on any tonic water when you purchase any ONE (1) 750ml...,,['BEEFEATER® London Dry Gin']
210,Stella Artois® on TWO (2) 12-packs of any Stella Artois® products.,,"['Stella', 'Stella', 'Artois®', 'Artois®']"
211,TEQUILA AVIÓN® ONE (1) 750ml bottle of TEQUILA AVIÓN® Silver or Reposado.,,"['TEQUILA', 'TEQUILA', 'AVIÓN®', 'AVIÓN® Silver', 'Reposado']"
212,"Clausthaler on ONE (1) Clausthaler beer 6-Pack (Original, Dry Hopped or...",,"['Clausthaler', 'Original', 'Dry Hopped', 'Clausthaler']"
213,Mike's Hard Lemonade on ONE (1) 12-pack of Mike's Hard Lemonade.,,"['Mike', 'Hard Lemonade', 'Mike', 'Hard Lemonade']"
214,"San Simeon & Maddalena Wine $3 for THREE (3), $9 for SIX (6) or $24 when you purchase...",$3,"['San Simeon', 'Maddalena Wine', 'SIX']"
215,"Kendall-Jackson Wine Save $12 when you buy SIX (6), Save $3 when you buy THREE...",$12,"['SIX', 'Kendall-Jackson Wine']"
216,Pacifico Clara When you buy ONE (1) 12-pack or larger of Pacifico Clara...,,"['Pacifico Clara', 'Pacifico Clara']"
217,Modelo When you buy TWO (2) 12-packs or ONE (1) 24-pack of Modelo...,,"['Modelo', 'Modelo']"
218,Kona® Brewing on ONE (1) 12-pack Kona® beer and Groceries.,,"['Kona® Brewing', 'Kona®', 'Groceries']"
219,"Cupcake® Wine Save $2 on TWO (2), $6 on FOUR (4), $18 on SIX (6) on...",$2,"['Cupcake® Wine', 'SIX']"
220,"CORONA when you purchase ONE (1) 24-pack of Corona Extra, Corona...",,"['CORONA', 'Corona Extra', 'Corona']"
221,"CORONA $10 off TWO (2), or $5 off ONE (1) 12-pack or larger of...",$10,['CORONA']
222,Russian Standard® Original Vodka on ONE (1) 1.75 Liter Bottle of Russian Standard® Original...,,"['Russian', 'Russian', 'Standard® Original Vodka', 'Liter Bottle', 'Standard® Original']"
223,New Belgium Beer on TWO (2) 6pks of any New Belgium beer.,,"['New Belgium Beer', 'New Belgium']"
224,"Ace Kicker $1 on ONE (1), $6 on THREE (3) or $18 on SIX (6) 750ml...",$1,"['Ace Kicker', 'SIX']"
225,Gentleman Jack® On One (1) 750ml or larger bottle of Gentleman Jack.,,"['Gentleman', 'Gentleman Jack', 'Jack®', 'One']"
226,St. Huberts The Stag Recieve $2 on ONE (1) or $5 on TWO (2) 750ml bottles of St....,$2,"['Stag Recieve', 'St.', 'St']"
227,7 Deadly and Imagery Wines on ONE (1) 750 Bottle of 7 Deadly or Imagery.,,"['Imagery Wines', 'Imagery', 'Deadly', 'Bottle', 'Deadly']"
228,BULLEIT on ONE (1) bottle (750ml only) of participating BULLEIT...,,"['BULLEIT', 'BULLEIT']"
229,"SMIRNOFF ICE, SMIRNOFF SELTZER on ONE (1) 12-pack of SMIRNOFF ICE OR SMIRNOFF Seltzer AND...",,"['SMIRNOFF ICE', 'SMIRNOFF SELTZER', 'SMIRNOFF', 'ICE', 'SMIRNOFF Seltzer AND']"
230,Grand Marnier® on ONE (1) Bottle of Grand Marnier® 750ml.,,"['Grand', 'Grand', 'Marnier®', 'Bottle', 'Marnier®']"
231,CROWN ROYAL ONE (1) bottle (750ml or larger) of CROWN ROYAL (any...,,"['CROWN', 'CROWN', 'ROYAL', 'ROYAL']"
232,KETEL ONE® ONE (1) bottle (750ml or larger) of KETEL ONE® Vodka...,,"['KETEL', 'KETEL', 'ONE®', 'ONE® Vodka']"
233,High Noon® Sun Sips on One (1) Variety 12 Pack of High Noon® Sun Sips.,,"['High', 'High', 'Noon® Sun Sips', 'One', 'Pack', 'Noon® Sun Sips']"
234,"Risata Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",$1,"['Risata', 'SIX']"
235,BACARDI® INSTANTLY ON THE PURCHASE OF ONE (1) COCA-COLA® 10PK 7.5 OZ...,,"['PURCHASE OF', 'BACARDI® INSTANTLY', 'THE', 'COCA-COLA®']"
236,PLUME & PETAL® VODKA ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF PLUME & PETAL®...,,"['PLUME', 'PURCHASE OF', 'PETAL® VODKA', 'THE', 'BOTTLE OF PLUME', 'PETAL®']"
237,TANQUERAY ONE (1) bottle (750ml or larger) of TANQUERAY London Dry...,,"['TANQUERAY', 'TANQUERAY London Dry']"
238,"SMIRNOFF ONE (1) bottle (750ml or larger) of SMIRNOFF (any variant,...",,"['SMIRNOFF', 'SMIRNOFF']"
239,DON JULIO ONE (1) bottle (750ml only) of DON JULIO Blanco Tequila.,,"['DON', 'DON', 'JULIO', 'JULIO Blanco Tequila']"
240,BOMBAY SAPPHIRE® GIN ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF BOMBAY SAPPHIRE®...,,"['BOMBAY', 'PURCHASE OF', 'SAPPHIRE® GIN', 'THE', 'BOTTLE OF BOMBAY SAPPHIRE®']"
241,"Yes Way Rosé Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",$1,"['SIX', 'Way Rosé']"
242,SMIRNOFF on ONE (1) 12-pack of SMIRNOFF Seltzer AND ONE (1) bottle...,,"['SMIRNOFF', 'SMIRNOFF Seltzer AND']"
243,Signature Cafe 8-Piece Dark Meat Fried... 4-each: drumsticks & thighs. Limit 2.,,"['Signature Cafe', 'Dark Meat']"
244,Primo Taglio Ham Off The Bone or Pan Roasted Turkey Breast or American Yellow or White...,,"['Primo Taglio Ham', 'Pan Roasted Turkey Breast', 'American Yellow', 'White', 'Bone']"
245,Wellington Water Crackers 4.4-oz.,,"['Wellington Water', 'Crackers']"
246,Mini Babybel Cheese 6-ct.,,"['Mini Babybel', 'Cheese']"
247,Signature Cafe Whole Roasted Chicken 28-34-oz. Limit 1.,,['Signature Cafe Whole Roasted Chicken']
248,Signature Cafe Side Entrée 12-16-oz. Limit 1.,,['Signature Cafe Side Entrée']
249,Reser's® on any ONE (1) Reser's® Deli Salad.,,"[""Reser's®"", ""Reser's® Deli Salad""]"
250,Claritin® Buy 1 Get $5.00 off or Buy More for Greater Savings! on...,$5.00,"['Greater Savings', 'Claritin®', 'Get']"
251,"CREST® on ONE Crest Gum Detoxify, Gum & Enamel Repair OR Gum &...",,"['Crest Gum Detoxify', 'Gum', 'Enamel Repair', 'CREST®', 'Gum']"
252,Crest Whitestrips ONE Crest 3D White Whitestrips Kit (excludes Noticeably...,,"['Crest Whitestrips', 'White Whitestrips Kit', 'Crest']"
253,Fixodent ONE Fixodent Adhesive 1.4 oz OR larger (excludes...,,"['Fixodent', 'Fixodent Adhesive']"
254,"Oral B ONE Oral-B Adult Manual Toothbrush (excludes Pulsar,...",,"['Oral', 'Pulsar', 'B', 'Oral-B Adult Manual Toothbrush']"
255,Prilosec ONE Prilosec OTC Product.,,"['Prilosec', 'Prilosec OTC Product']"
256,Crest / Scope ONE Crest Mouthwash 473 mL (16 oz) or larger (excludes...,,"['Crest', '/ Scope', 'Crest Mouthwash']"
257,"Crest ONE Crest 3D White Whitening Therapy Enamel Care,...",,"['White Whitening', 'Crest', 'Crest', 'Therapy Enamel Care']"
258,"Oral B ONE Oral-B Glide Manual Floss, Floss Picks, Interdental...",,"['Oral', 'Floss Picks', 'Interdental', 'B', 'Oral-B Glide Manual Floss']"
259,Crest ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest...,,"['Crest', 'Crest', 'Crest']"
260,"Crest ONE Crest Gum Detoxify, Gum & Enamel Repair, OR Gum &...",,"['Gum', 'Enamel Repair', 'Gum', 'Crest', 'Crest Gum Detoxify']"
261,Oral B ONE Oral-B Vitality OR Pro 500 Rechargeable Electric...,,"['Oral', 'B', 'Oral-B Vitality', 'Pro', 'Rechargeable Electric']"
262,Colgate® Optic White® ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz....,,"['Colgate® Optic White®', 'Colgate® Optic White® Renewal Toothpaste']"
263,Stayfree® or Carefree® Buy 1 Get $2.00 off or Buy More for Greater Savings! on...,$2.00,"['Greater Savings', 'Stayfree®', 'Carefree®', 'Get']"
264,Playtex® Sport® or o.b.® Tampons Buy 1 Get $3.00 off or Buy More for Greater Savings! on...,$3.00,"['Tampons', 'Greater Savings', 'Playtex® Sport®', 'Get']"
265,Nexium® 24HR ONE (1) Nexium® 24HR 28ct or larger.,,['Nexium®']
266,Cetaphil® on ANY ONE (1) Cetaphil® Product (excludes 4oz. or less -...,,"['ANY', 'Cetaphil®', 'Cetaphil® Product']"
267,Differin® on ANY ONE (1) Differin® Product.,,"['ANY', 'Differin®', 'Differin® Product']"
268,BOOST® Nutritional Drinks or Drink Mixes on any TWO (2) BOOST® Nutritional Drinks or Drink Mixes.,,"['Drink Mixes', 'Drink Mixes', 'BOOST® Nutritional Drinks', 'BOOST® Nutritional Drinks']"
269,ONE® Brands on ONE (1) ONE® Brands protein bar 60g bar any flavor.,,"['ONE®', 'ONE® Brands']"
270,Osteo Bi-Flex® on any ONE (1) Osteo Bi-Flex® product (28ct or larger).,,"['Osteo', 'Bi-Flex®', 'Osteo Bi-Flex®']"
271,CLIF BAR® on any ONE (1) CLIF® Bar Multipack.,,"['CLIF', 'BAR®', 'CLIF® Bar Multipack']"
272,"BENADRYL® on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product...",,"['BENADRYL®', 'BENADRYL®']"
273,Claritin® off any ONE (1) Claritin® Cool Mint Chewables 24 ct.,,"['Claritin®', 'Claritin® Cool Mint Chewables']"
274,Claritin-D® off any ONE (1) Claritin-D® 15ct or larger.,,['Claritin-D®']
275,Claritin® off any ONE (1) Children's Claritin® Syrup 4oz or larger.,,"['Children', 'Claritin®', 'Claritin® Syrup']"
276,Claritin® off any ONE (1) Children's Claritin® Chewables 20ct OR ONE...,,"['Children', 'Claritin®', 'Claritin® Chewables']"
277,Ensure® on Any TWO (2) Ensure Multi-Pack Shakes.,,"['Ensure®', 'Multi-Pack Shakes']"
278,Aleve® on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger...,,"['Aleve®', 'Aleve®', 'Aleve®PM']"
279,"Adult ZYRTEC® when you buy ONE (1) Adult ZYRTEC® product, any variety...",,"['Adult', 'ZYRTEC®', 'ZYRTEC®']"
280,Florastor on any ONE (1) Florastor product.,,"['Florastor', 'Florastor']"
281,"Allegra® on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or...",,"['Allegra®', 'Allegra® Allergy', 'Allegra-D®']"
282,Dixie Tableware 40-94-ct.,,['Dixie Tableware']
283,Kingsford Match Light or Charcoal... 12-16-lb. Limit 2.,,"['Kingsford Match Light', 'Charcoal']"
284,Pabst Blue Ribbon on ONE (1) Pabst Blue Ribbon 30pk and ONE (1) Bag of...,,"['Pabst Blue Ribbon', 'Pabst Blue Ribbon']"
285,Tide ONE Tide Laundry Detergent 37 oz TO 50 oz (excludes Tide...,,"['Tide', 'Tide Laundry Detergent', 'Tide']"
286,Tide ONE Tide PODS 16 ct OR 12 ct (excludes Tide Liquid/Powder...,,"['Tide', 'Tide PODS', 'Tide Liquid/Powder']"
287,Chinet® Cut Crystal® Buy TWO (2) Chinet® Cut Crystal® Get ONE (1) Chinet® Cut...,,"['Chinet® Cut Crystal®', 'Chinet® Cut Crystal® Get', 'Chinet® Cut']"
288,Gain ONE Gain Flings 16 ct OR 14 ct OR 12 ct OR Gain Liquid...,,"['Gain Flings', 'Gain Liquid']"
289,Gain ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In...,,"['Gain Liquid Fabric Softener', 'Gain Fireworks']"
290,Raid® any ONE (1) Raid® Wasp & Hornet Product.,,"['Hornet Product', 'Raid®', 'Raid® Wasp']"
291,OFF!® any ONE (1) OFF!® brand product.,,[]
292,Raid® on any ONE (1) Raid® Essential Oils Product (Excludes Raid®...,,"['Excludes', 'Raid®', 'Raid® Essential Oils Product', 'Raid®']"
293,"OFF!® on any ONE (1) OFF!® Product (Excludes Club Packs, Twin...",,"['Excludes Club Packs', 'Twin', 'Product']"
294,Tillamook Ice Cream 1.75-qt.,,"['Tillamook Ice', 'Cream']"
295,Popsicle Novelties 9-18-ct.,,"['Popsicle', 'Novelties']"
296,Pepperidge Farm Turnovers 12.5-oz. or 19.6-oz. cakes.,,['Pepperidge Farm Turnovers']
297,Signature SELECT Frozen Dessert 8-9.87-oz. Limit 1.,,"['Signature', 'Frozen Dessert']"
298,Signature SELECT Ice Cream 1.5-qt. Limit 1.,,"['Signature', 'Ice Cream']"
299,"Tillamook® Ice Cream on any TWO (2) Tillamook® Ice Cream Products, 56 oz.",,"['Tillamook® Ice Cream', 'Tillamook® Ice Cream Products']"
300,VALSOIA on ONE (1) Valsoia Dairy Free Gelato.,,"['VALSOIA', 'Valsoia Dairy Free Gelato']"
301,Bubbies Ice Cream any ONE (1) Bubbies Mochi or Cookie Dough Ice Cream Bites...,,"['Cookie Dough Ice Cream Bites', 'Ice Cream', 'Mochi']"
302,Cheez-It Snack Mix 40-oz.,,['Cheez-It Snack Mix']
303,Ghirardelli Chocolate Bars 3.17-3.5-oz.,,['Ghirardelli Chocolate Bars']
304,Pepperidge Farm Goldfish Crackers 6-8-oz.,,['Pepperidge Farm Goldfish Crackers']
305,Cheez-It Crackers 8.7-12.4-oz.,,['Crackers']
306,Planters Peanuts 16-oz.,,['Peanuts']
307,Calidad Tortilla Chips 11.5-12-oz.,,"['Calidad Tortilla', 'Chips']"
308,Signature SELECT Snacking Nuts 5-8.5-oz Limit 1.,,"['Signature', 'Snacking Nuts']"
309,Signature SELECT Cookie Thins 7-oz. Limit 1.,,"['Signature', 'Cookie', 'Thins']"
310,Signature SELECT Cheese Crunchies 8-oz. Limit 1.,,"['Signature', 'Cheese Crunchies', '8-oz']"
311,Werther's Original Popcorn on ONE (1) Werther's Original Popcorn 6oz bag.,,"['Werther', 'Original Popcorn', 'Werther', 'Original Popcorn']"
312,Chudabeef Jerky Product On any ONE (1) Chudabeef Jerky Product.,,"['Chudabeef Jerky Product', 'Chudabeef Jerky Product']"
313,"Lily’s Chocolate Bar any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking...",,"['Chocolate Bar', 'Chocolate Candy', '’', 'Chocolate Bar', 'Baking']"
314,Nature's Own Perfectly Crafted Bread 22-oz. or 15-16-oz. Nature's Own buns.,,"['Nature', 'Nature', 'Own Perfectly Crafted Bread']"
315,Dave's Killer Thin Sliced Bread 20.5-oz.,,"['Dave', 'Killer Thin Sliced', 'Bread']"
316,Alfaro's Artesano Buns 14.5-15-oz. or 20-oz. Alfaro's Artesano bread.,,"['Alfaro', 'Artesano Buns', 'Alfaro', 'Artesano']"
317,Oroweat Organic Breakfast Items 13-13.75-oz. or 20-oz. Oroweat Organic thin sliced bread.,,"['Oroweat Organic Breakfast Items', 'Oroweat Organic']"
318,Signature SELECT Madeleine Cookies 14-oz. Limit 1.,,"['Signature', 'Madeleine Cookies']"
319,Signature SELECT Petite Brownie Bites 24-oz. Limit 1.,,"['Signature', 'Petite Brownie Bites']"
320,Signature SELECT French Bread 1-each. Limit 1.,,"['Signature', 'French', 'Bread']"
321,Sun-Maid Raisin Bread on ONE (1) loaf of Sun-Maid Raisin Bread 16oz.,,"['Raisin Bread', 'Sun-Maid Raisin Bread']"
322,Nature's Own Perfectly Crafted Brioche... on ONE (1) Nature's Own Perfectly Crafted Brioche Style...,,"['Nature', 'Nature', 'Own Perfectly Crafted Brioche', 'Own Perfectly Crafted Brioche Style']"
323,Sweet Baby Ray's Barbecue Sauce 18-oz.,,"['Sweet Baby Ray', 'Barbecue Sauce']"
